task_id,customer_id,task_name,owner,due_date,status
T0001,C001,Company Info & KYC,Customer,2026-08-13,Completed
T0002,C001,Document Collection,Customer,2026-08-16,Completed
T0003,C001,Employee Data Upload,Customer,2026-08-20,Completed
T0004,C001,Bank Details Verification,Ops,2026-08-24,Completed
T0005,C001,PAN / UAN Verification,Ops,2026-08-26,Completed
T0006,C001,Attendance & Leave Config,Payroll Ops,2026-08-30,Completed
T0007,C001,Salary Structure Mapping,Payroll Ops,2026-09-02,Completed
T0008,C001,Pre-run Reconciliation,Payroll Ops,2026-09-07,Completed
T0009,C001,Customer Approval Sign-off,Customer,2026-09-11,Blocked
T0010,C002,Company Info & KYC,Customer,2026-07-26,Completed
T0011,C002,Document Collection,Customer,2026-07-29,Pending
T0012,C002,Employee Data Upload,Customer,2026-08-02,Pending
T0013,C002,Bank Details Verification,Ops,2026-08-06,Pending
T0014,C002,PAN / UAN Verification,Ops,2026-08-08,Pending
T0015,C002,Attendance & Leave Config,Payroll Ops,2026-08-12,Pending
T0016,C002,Salary Structure Mapping,Payroll Ops,2026-08-15,Pending
T0017,C002,Pre-run Reconciliation,Payroll Ops,2026-08-20,Pending
T0018,C002,Customer Approval Sign-off,Customer,2026-08-24,Pending
T0019,C003,Company Info & KYC,Customer,2026-07-22,Completed
T0020,C003,Document Collection,Customer,2026-07-25,Completed
T0021,C003,Employee Data Upload,Customer,2026-07-29,Completed
T0022,C003,Bank Details Verification,Ops,2026-08-02,Completed
T0023,C003,PAN / UAN Verification,Ops,2026-08-04,Completed
T0024,C003,Attendance & Leave Config,Payroll Ops,2026-08-08,Completed
T0025,C003,Salary Structure Mapping,Payroll Ops,2026-08-11,Completed
T0026,C003,Pre-run Reconciliation,Payroll Ops,2026-08-16,Completed
T0027,C003,Customer Approval Sign-off,Customer,2026-08-20,Completed
T0028,C004,Company Info & KYC,Customer,2026-09-05,Completed
T0029,C004,Document Collection,Customer,2026-09-08,In Progress
T0030,C004,Employee Data Upload,Customer,2026-09-12,Pending
T0031,C004,Bank Details Verification,Ops,2026-09-16,Pending
T0032,C004,PAN / UAN Verification,Ops,2026-09-18,Pending
T0033,C004,Attendance & Leave Config,Payroll Ops,2026-09-22,Pending
T0034,C004,Salary Structure Mapping,Payroll Ops,2026-09-25,Pending
T0035,C004,Pre-run Reconciliation,Payroll Ops,2026-09-30,Pending
T0036,C004,Customer Approval Sign-off,Customer,2026-10-04,Pending
T0037,C005,Company Info & KYC,Customer,2026-07-27,Completed
T0038,C005,Document Collection,Customer,2026-07-30,Completed
T0039,C005,Employee Data Upload,Customer,2026-08-03,Completed
T0040,C005,Bank Details Verification,Ops,2026-08-07,Completed
T0041,C005,PAN / UAN Verification,Ops,2026-08-09,Completed
T0042,C005,Attendance & Leave Config,Payroll Ops,2026-08-13,Completed
T0043,C005,Salary Structure Mapping,Payroll Ops,2026-08-16,Completed
T0044,C005,Pre-run Reconciliation,Payroll Ops,2026-08-21,Completed
T0045,C005,Customer Approval Sign-off,Customer,2026-08-25,Completed
T0046,C006,Company Info & KYC,Customer,2026-07-23,Completed
T0047,C006,Document Collection,Customer,2026-07-26,Completed
T0048,C006,Employee Data Upload,Customer,2026-07-30,Completed
T0049,C006,Bank Details Verification,Ops,2026-08-03,Completed
T0050,C006,PAN / UAN Verification,Ops,2026-08-05,Completed
T0051,C006,Attendance & Leave Config,Payroll Ops,2026-08-09,In Progress
T0052,C006,Salary Structure Mapping,Payroll Ops,2026-08-12,Pending
T0053,C006,Pre-run Reconciliation,Payroll Ops,2026-08-17,Pending
T0054,C006,Customer Approval Sign-off,Customer,2026-08-21,Pending
T0055,C007,Company Info & KYC,Customer,2026-07-13,Completed
T0056,C007,Document Collection,Customer,2026-07-16,Completed
T0057,C007,Employee Data Upload,Customer,2026-07-20,Completed
T0058,C007,Bank Details Verification,Ops,2026-07-24,Completed
T0059,C007,PAN / UAN Verification,Ops,2026-07-26,Completed
