customer_id,expected_gross,expected_net,processed_net,variance,reconciliation_status
C001,203302,187507,187507,0,Reconciled
C002,610706,559868,559868,0,Reconciled
C003,884519,790818,790818,0,Reconciled
C004,325535,296204,296204,0,Reconciled
C005,1186939,1076239,987007,-89232,Unreconciled
C006,1115311,1003597,1002874,-723,Unreconciled
C007,832957,740009,740009,0,Reconciled
C008,350406,314162,314162,0,Reconciled
C009,232314,211011,199521,-11490,Unreconciled
C010,245610,222375,222375,0,Reconciled
C011,194043,178801,178801,0,Reconciled
C012,841107,762183,762183,0,Reconciled
C013,115828,103291,103291,0,Reconciled
C014,548955,496715,496715,0,Reconciled
C015,252405,232579,232579,0,Reconciled
C016,356918,325459,325459,0,Reconciled
C017,677103,601745,601745,0,Reconciled
C018,213591,190041,190041,0,Reconciled
C019,86389,79746,73303,-6443,Unreconciled
C020,468769,422114,422114,0,Reconciled
C021,596771,545805,545805,0,Reconciled
C022,863624,773832,773832,0,Reconciled
C023,816512,736851,736851,0,Reconciled
C024,255920,233044,233044,0,Reconciled
C025,463848,419512,428321,8809,Unreconciled
C026,252077,228558,228558,0,Reconciled
C027,126535,116808,116808,0,Reconciled
C028,276958,249112,249112,0,Reconciled
C029,375722,341357,341357,0,Reconciled
C030,532923,483177,483177,0,Reconciled
C031,867719,779796,779796,0,Reconciled
C032,711878,638983,638983,0,Reconciled
C033,521858,467096,467096,0,Reconciled
C034,705459,631862,631862,0,Reconciled
C035,642189,579428,579428,0,Reconciled
C036,302661,270846,270846,0,Reconciled
C037,623483,560633,560633,0,Reconciled
C038,430468,385821,385821,0,Reconciled
C039,332963,303480,296411,-7069,Unreconciled
C040,194520,179295,179295,0,Reconciled
C041,1356591,1232611,1232611,0,Reconciled
C042,319689,291787,291787,0,Reconciled
C043,805521,730546,730546,0,Reconciled
C044,243648,222431,222431,0,Reconciled
C045,220927,204886,204886,0,Reconciled
C046,406658,362885,362885,0,Reconciled
C047,608538,540542,540542,0,Reconciled
C048,958789,871654,870894,-760,Unreconciled
C049,116269,107065,107065,0,Reconciled
C050,486308,442462,442462,0,Reconciled
