employee_id,customer_id,gross_earnings,expected_net_pay,processed_net_pay,pf_deduction,esi_deduction,pt_deduction,tds_deduction,variance
E001,C041,59732,55431,55431,4101,0,200,0,0
E002,C032,136733,119344,119344,10242,0,200,4102,0
E003,C046,128298,114369,114369,9880,0,200,3849,0
E004,C032,63160,55497,55497,4798,0,200,0,0
E005,C048,75711,69367,69334,6144,0,200,0,-33
E006,C038,93795,86214,86214,7381,0,200,0,0
E007,C030,54308,50020,50020,4088,0,200,0,0
E008,C005,78986,73260,67734,5526,0,200,0,-5526
E009,C012,45517,42186,42186,3131,0,200,0,0
E191,C030,43597,40455,40455,2942,0,200,0,0
E011,C009,30815,28652,23568,1963,0,200,0,-5084
E012,C031,108998,97269,97269,8259,0,200,3270,0
E013,C048,80502,74283,74213,6019,0,200,0,-70
E014,C005,80908,74255,67802,6453,0,200,0,-6453
E015,C003,71428,65326,65326,5902,0,200,0,0
E016,C032,97928,90746,90746,6982,0,200,0,0
E017,C048,39203,36313,36231,2690,0,200,0,-82
E018,C026,59818,55615,55615,4003,0,200,0,0
E019,C031,35904,33258,33258,2446,0,200,0,0
E020,C039,97891,90633,85546,7058,0,200,0,-5087
E021,C015,71393,65929,65929,5264,0,200,0,0
E022,C043,52956,48720,48720,4036,0,200,0,0
E023,C021,62200,56963,56963,5037,0,200,0,0
E024,C046,67773,62879,62879,4694,0,200,0,0
E025,C043,134213,119901,119901,10086,0,200,4026,0
E026,C022,110810,98700,98700,8586,0,200,3324,0
E027,C047,108865,97063,97063,8336,0,200,3266,0
E028,C033,76230,70183,70183,5847,0,200,0,0
E029,C039,86348,75483,74757,6856,0,200,0,-726
E030,C035,48601,43763,43763,2982,0,200,0,0
E031,C002,55742,51217,51217,4325,0,200,0,0
E032,C029,110998,99206,99206,8262,0,200,3330,0
E033,C023,122627,109238,109238,9510,0,200,3679,0
E034,C031,55263,50081,50081,3899,0,200,0,0
E035,C038,120156,106806,106806,9545,0,200,3605,0
E036,C023,123616,109395,109395,10313,0,200,3708,0
E037,C009,78974,72901,67906,5873,0,200,0,-4995
E038,C011,40959,38102,38102,2657,0,200,0,0
E039,C009,122525,109458,108047,9191,0,200,3676,-1411
E040,C048,35547,32939,32918,2408,0,200,0,-21
E041,C027,93207,86229,86229,6778,0,200,0,0
E042,C006,52605,48632,48545,3773,0,200,0,-87
E043,C029,95303,87421,87421,7682,0,200,0,0
E044,C048,92338,85240,85184,6898,0,200,0,-56
