customer_id,expected_net,processed_net,variance_amount,reconciliation_status
C001,187507,187507,0,Reconciled
C002,559868,559868,0,Reconciled
C003,790818,790818,0,Reconciled
C004,296204,296204,0,Reconciled
C005,1076239,987007,-89232,Unreconciled
C006,1003597,1002874,-723,Unreconciled
C007,740009,740009,0,Reconciled
C008,314162,314162,0,Reconciled
C009,211011,199521,-11490,Unreconciled
C010,222375,222375,0,Reconciled
C011,178801,178801,0,Reconciled
C012,762183,762183,0,Reconciled
C013,103291,103291,0,Reconciled
C014,496715,496715,0,Reconciled
C015,232579,232579,0,Reconciled
C016,325459,325459,0,Reconciled
C017,601745,601745,0,Reconciled
C018,190041,190041,0,Reconciled
C019,79746,73303,-6443,Unreconciled
C020,422114,422114,0,Reconciled
C021,545805,545805,0,Reconciled
C022,773832,773832,0,Reconciled
C023,736851,736851,0,Reconciled
C024,233044,233044,0,Reconciled
C025,419512,428321,8809,Unreconciled
C026,228558,228558,0,Reconciled
C027,116808,116808,0,Reconciled
C028,249112,249112,0,Reconciled
C029,341357,341357,0,Reconciled
C030,483177,483177,0,Reconciled
C031,779796,779796,0,Reconciled
C032,638983,638983,0,Reconciled
C033,467096,467096,0,Reconciled
C034,631862,631862,0,Reconciled
C035,579428,579428,0,Reconciled
C036,270846,270846,0,Reconciled
C037,560633,560633,0,Reconciled
C038,385821,385821,0,Reconciled
C039,303480,296411,-7069,Unreconciled
C040,179295,179295,0,Reconciled
C041,1232611,1232611,0,Reconciled
C042,291787,291787,0,Reconciled
C043,730546,730546,0,Reconciled
C044,222431,222431,0,Reconciled
C045,204886,204886,0,Reconciled
C046,362885,362885,0,Reconciled
C047,540542,540542,0,Reconciled
C048,871654,870894,-760,Unreconciled
C049,107065,107065,0,Reconciled
C050,442462,442462,0,Reconciled
